"station_removed","avg_extra_distance_km","max_extra_distance_km"
"249931",0.612873233900727,1.10576332593023
"355730",0.556722787710515,3.55733119789419
"158521",0.35029278815208,0.859297472861877
"372457",0.283838322577797,1.09863611654647
"249940",0.264690415983673,0.98229872671991
"329276",0.254587694749282,1.13848123210819
"204337",0.251207011205292,0.997021198270137
"84143",0.188478246994968,0.213498857310289
"249342",0.188235466788808,0.483577988194193
"84042",0.180341247957497,0.184724457428063
"377824",0.1710939019683,0.55353780455378
"258643",0.167647853119591,0.464461802180718
"249341",0.158957982930263,0.740825271700131
"84031",0.138897189392204,0.889841761922194
"202105",0.085688350856243,0.224812032615162
"354395",0.0723478069608694,0.43077964888321
"349441",0.0702669082626956,0.575468779067161
"88198",0.0596597990039552,0.567280845714462
"210216",0.0592336264451636,0.387838358561849
"249532",0.05632361699375,0.269309737532236
"353038",0.0510207026862257,0.269985781368117
"249442",0.0487554282607643,0.464196562504803
"258597",0.037929585162642,0.0720730103010901
"231926",0.0342429086274157,0.222551465922335
"261484",0.0318148014610434,0.250150185645813
"330163",0.0313654023229316,0.144139148301194
"163270",0.0296678283900077,0.0752032021255654
"376668",0.0255161373313488,0.187270359204798
"158522",0.024120288841685,0.348581497206389
"313597",0.0231722139472948,0.140125378336947
"129977",0.0211740280297119,0.226650798694405
"208842",0.0193445539048344,0.0634888669904612
"389740",0.0189806800744236,0.176077821796574
"232200",0.0187913999086551,0.0678237979706955
"84339",0.0178377723383387,0.260121145929901
"130016",0.0178070404500244,0.168346536437393
"330505",0.0172975238371299,0.116964463519747
"388057",0.0167851712046517,0.458251415952005
"404545",0.016276742378873,0.0802202775148944
"208841",0.0154522045484233,0.14061318255645
"249945",0.0138627038687115,0.122584868837035
"224414",0.013849197563932,0.0899527641857385
"303359",0.0138181191686038,0.0859965016762399
"231912",0.0136515002738727,0.0597451095098968
"165817",0.0133008037257368,0.210753517359279
"321822",0.011565361885145,0.170573381976676
"332334",0.0115383663994263,0.212060053428613
"345889",0.0113023740857748,0.124202003070219
"428719",0.0112791627620011,0.0596397965961696
"325827",0.0107780084559946,0.0961489392974054
"208844",0.0102273139773501,0.0849958670478682
"225032",0.00978447661077622,0.0775462085598574
"231887",0.00925167524160988,0.127416478639592
"186392",0.00891930166012255,0.0137462984834019
"208845",0.00818058852290323,0.107071627968666
"91577",0.00813471077524383,0.0454590569726552
"349401",0.00803888871605771,0.175803524826453
"83733",0.00796446091306083,0.0242805632191848
"232530",0.00781547595871809,0.0648904005800305
"199446",0.00767713744634101,0.0750416813973279
"163115",0.0069648972634941,0.0847518014639863
"321823",0.00689915947448447,0.195509286655933
"249829",0.00680112330744519,0.141060897778698
"249932",0.00674715240586631,0.0283981896462901
"347659",0.00558706283459423,0.071297563044518
"391055",0.00556205909469492,0.0173976800070668
"210506",0.00500447807959552,0.0306129325270522
"360302",0.00498149647984689,0.154861798319251
"303340",0.00497084786374134,0.0854799929649489
"84125",0.00489364658223349,0.00489364658223349
"312785",0.00467775329033021,0.031828749730721
"210155",0.00455154168129158,0.0464352600616912
"171351",0.0044646601003366,0.0316989758019463
"129988",0.00429308037490723,0.0370347969151444
"84996",0.00410655258528087,0.140712082322521
"155558",0.00404776544039307,0.0620987176865347
"83732",0.00394134368723542,0.038945845009388
"197091",0.00381943140156661,0.0305319042065403
"249831",0.0036850246148968,0.0434360605918082
"88203",0.00348217441175387,0.0442833380244647
"332146",0.00342520280208303,0.0273220257317444
"390541",0.00339728004894372,0.0470019839092365
"193872",0.00304352544297806,0.0460657528465836
"347632",0.00231090237561971,0.029801488669229
"232092",0.00229261973691154,0.0156930577678577
"347514",0.00227001809941954,0.0450754219047485
"83828",0.00223097031840617,0.0468473827041344
"84371",0.00211825510234776,0.0188355358124609
"404546",0.0017880863043383,0.00985180210635917
"357721",0.00175127151240191,0.0235231285157097
"397119",0.00168590097312561,0.0179711547452462
"349418",0.00155639552384388,0.123338972139167
"232267",0.00151965400797608,0.00382010245637139
"360265",0.00136585908839377,0.408419040584
"129992",0.00133906657294048,0.00405558662264775
"222144",0.00133395356940957,0.0428433346306592
"328009",0.00107401110623753,0.00249686943072811
"232162",0.00101987037514825,0.00150567085715738
"313553",0.0010194577933242,0.0211826498132923
"258598",0.000927947690987853,0.00324988795520767
"262612",0.000860821025877264,0.0526241830185825
"384845",0.000830531498338876,0.0114791958211281
"345245",0.000745274775040246,0.00270965421554683
"158018",0.000714127059557132,0.0153826898878033
"249361",0.000686400152111761,0.0948698098289151
"185313",0.000674683284339881,0.0247983474220746
"84039",0.00066489103033382,0.00066489103033382
"155434",0.000591354682213952,0.00767962329088732
"314095",0.000554525045245134,0.00162068845934118
"377843",0.000541504059452958,0.0102369554293764
"252973",0.000515043157776929,0.00592476540248208
"300959",0.000491768463423604,0.00339144173242312
"330172",0.000476760517720559,0.0127843828081459
"213444",0.000449604348590785,0.0084313426768822
"197935",0.000385283967236221,0.00337513326959015
"374941",0.000286411824475345,0.0770282398034643
"258711",0.000267259616992329,0.00117128007149586
"374942",0.000238334768448216,0.00194847948290953
"346036",0.000198786957685206,0.000571698672603816
"175410",0.00016861696759836,0.000575941909002722
"312976",0.000155422173760079,0.00103600673567598
"357179",0.000151623720919815,0.00163945291013624
"333695",0.000145479121589822,0.00209675526585306
"231921",0.00014445201470948,0.00572247397720639
"345759",0.000139299826675772,0.00178354641509213
"228889",0.000134722197652811,0.00240765431423642
"234658",0.000124523468432697,0.00190615381480529
"303662",8.17281681252203e-05,0.00132872674414284
"405342",7.70068606135031e-05,0.000840157337035635
"154622",7.35594568423448e-05,0.000294016778709192
"312977",6.80085786678205e-05,0.000374785808940942
"303661",6.7969619313005e-05,0.000533439585144151
"182779",3.72565159223482e-05,0.000194698132483609
"232512",2.55019565473592e-05,8.49798196431948e-05
"232513",2.16618838821991e-05,0.000178432316442922
"231917",2.06673304937475e-05,0.000754100061632926
"118689",1.92193776415823e-05,0.00126736640690797
"213192",8.70063495461148e-06,3.01677144962014e-05
"104540",7.67314442503057e-06,8.44444175818353e-05
"232517",7.47261813194881e-06,8.69685645648133e-05
"213197",3.38568821671987e-07,1.2634163358598e-06
"83491",0,0
"83492",0,0
"83527",0,0
"84017",0,0
"84048",0,0
"84049",0,0
"84054",0,0
"84063",0,0
"84065",0,0
"83550",0,0
"84142",0,0
"84511",0,0
"420654",0,0
"360862",0,0
"397120",0,0
