"station_removed","station_name","avg_extra_distance_km","max_extra_distance_km"
355730,"5974 248 Street",0.556722787710515,3.55733119789419
329276,"City of Delta - John Oliver Park",0.254587694749282,1.13848123210819
249931,"Onni Property Management Services Ltd",0.612873233900727,1.10576332593023
372457,"TOL REDWDS PUBLIC 1",0.283838322577797,1.09863611654647
204337,"Swtch Energy",0.251207011205292,0.997021198270137
249940,"Onni Property Management Services Ltd",0.264690415983673,0.98229872671991
84031,"Best Western - The Westerly Hotel",0.138897189392204,0.889841761922194
158521,"Abbotsford School District - Chief Dan George Middle",0.35029278815208,0.859297472861877
249341,"Jim Pattison Developments Ltd",0.158957982930263,0.740825271700131
349441,"On the Run EV Fast Charge",0.0702669082626956,0.575468779067161
88198,"BC Hydro - Surrey - Tynehead",0.0596597990039552,0.567280845714462
377824,"Paz 3",0.1710939019683,0.55353780455378
249342,"Jim Pattison Developments Ltd",0.188235466788808,0.483577988194193
258643,"Swtch Energy",0.167647853119591,0.464461802180718
249442,"Onni Property Management Services Ltd",0.0487554282607643,0.464196562504803
388057,"Mundy Park Pool - 641 Hillcrest St",0.0167851712046517,0.458251415952005
354395,"Vancouver Inbound",0.0723478069608694,0.43077964888321
360265,"CITY OF SURREY FRASERHEIGHTS-2",0.00136585908839377,0.408419040584
210216,"Shell Canada",0.0592336264451636,0.387838358561849
158522,"Hemlock Works Yard",0.024120288841685,0.348581497206389
353038,"Gescan Coquitlam",0.0510207026862257,0.269985781368117
249532,"First Capital Asset Management LP",0.05632361699375,0.269309737532236
84339,"Lake City Centre",0.0178377723383387,0.260121145929901
261484,"BC Hydro - Burnaby - Kensington Square",0.0318148014610434,0.250150185645813
129977,"Surrey Operations Centre - Visitors Parking",0.0211740280297119,0.226650798694405
202105,"Delta City Hall",0.085688350856243,0.224812032615162
231926,"SHORELINE GATEWAY 1",0.0342429086274157,0.222551465922335
84143,"Brooks Landing Mall",0.188478246994968,0.213498857310289
332334,"CITY OF SURREY NEWTONLIBRARY4K",0.0115383663994263,0.212060053428613
165817,"Keith Panel Systems",0.0133008037257368,0.210753517359279
