From,To
Vancouver,Burnaby
Vancouver,Richmond
Burnaby,Surrey
Surrey,Abbotsford
Abbotsford,Kamloops
Kamloops,Kelowna
Kamloops,Vernon
Kelowna,Vernon
Kelowna,Penticton
Kamloops,Williams Lake
Williams Lake,Prince George
Prince George,Terrace
Victoria,Nanaimo
Nanaimo,Campbell River
